# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1    : The momentum transfer sqrt(t) [GeV]
# Columns 2 & 3: Uncertainty band (minimum and maximum) of the Dirac form factor
# Columns 4 & 5: Uncertainty band (minimum and maximum) of the Pauli form factor
#     sqrt(t)[GeV]    F1Pmin                         F1Pmax                        F2Pmin                        F2Pmax 
      1.40000000      (2.82930194+4.07548383j)      (7.72291922+3.87774164j)      (0.21187122+-3.35988232j)      (4.48775401+-10.10486687j)
      1.41000000      (2.42110602+3.91627051j)      (7.59177684+4.30563347j)      (-0.36317799+-3.03450508j)      (5.05795455+-9.61498905j)
      1.42000000      (2.06345573+3.71358895j)      (7.41626984+4.74075641j)      (-1.02261798+-2.84081318j)      (5.55038759+-9.04045640j)
      1.43000000      (1.76101690+3.47791778j)      (7.19320620+5.17331832j)      (-0.08565573+-3.21078113j)      (-3.87289838+-10.36275698j)
      1.44000000      (1.28750884+3.30637189j)      (6.92233720+5.59217840j)      (1.97926826+-1.41726143j)      (-5.15357199+-10.72357614j)
      1.45000000      (1.08702443+3.01390186j)      (6.60703298+5.98583651j)      (1.27341680+-0.68791910j)      (-5.15288468+-11.70938201j)
      1.46000000      (0.94683593+2.71506072j)      (6.25458587+6.34375432j)      (0.34601088+-0.06118624j)      (-5.02791875+-12.74653373j)
      1.47000000      (0.57075989+2.50056034j)      (5.87598225+6.65783815j)      (-0.65978338+-0.26350988j)      (-4.78066986+-13.81746828j)
      1.48000000      (0.53196197+2.18587007j)      (5.48508302+6.92383669j)      (0.31461277+-0.11819215j)      (-4.41616615+-14.90770770j)
      1.49000000      (0.55184295+1.88600293j)      (5.09728759+7.14239982j)      (0.34208806+0.48598191j)      (-3.94153631+-16.00637259j)
      1.50000000      (0.62360547+1.61014805j)      (4.72787551+7.31961970j)      (-0.48980703+-0.00501645j)      (-3.36495277+-17.10648484j)
      1.51000000      (0.75407929+1.36327859j)      (4.39027089+7.46700937j)      (-0.28965396+0.23983285j)      (-2.69448203+-18.20501128j)
      1.52000000      (0.93570284+1.15523527j)      (4.09443298+7.60100954j)      (0.34581707+-0.04437471j)      (-1.93688922+-19.30259722j)
      1.53000000      (0.98151398+1.17234817j)      (3.84545860+7.74219394j)      (-0.30583655+0.12107958j)      (-1.09646122+-20.40294271j)
      1.54000000      (1.23120361+1.05883614j)      (3.64233536+7.91433212j)      (-1.54528722+-0.25388131j)      (-1.27897636+-21.51065442j)
      1.55000000      (1.51917101+1.00839734j)      (3.47665995+8.14336210j)      (-2.80590099+-0.87487581j)      (-0.35334397+-22.87660573j)
      1.56000000      (1.67873651+1.22104027j)      (3.33107643+8.45613639j)      (-4.06453684+-1.75937833j)      (0.71236762+-24.31916819j)
      1.57000000      (2.00831402+1.32190506j)      (3.17618356+8.87893556j)      (-5.29500413+-2.92930219j)      (1.95831484+-25.83969483j)
      1.58000000      (2.35162181+1.52155662j)      (2.97220470+9.43273698j)      (-6.46443460+-4.41132409j)      (3.43712898+-27.42387054j)
      1.59000000      (2.69184177+1.83609741j)      (2.66021633+10.12990969j)      (-7.52864180+-6.23617633j)      (-11.61595308+-27.84800094j)
      1.60000000      (3.00474424+2.28207902j)      (2.16535154+10.96364375j)      (-8.44492476+-8.41631630j)      (-9.81701026+-32.47587550j)
      1.61000000      (3.25611696+2.87432348j)      (1.39935126+11.89514363j)      (-1.81231551+-13.67824347j)      (-6.90956749+-37.11197557j)
      1.62000000      (3.50704812+3.46497694j)      (0.27321498+12.83820687j)      (-1.53683539+-15.58165760j)      (-2.76151608+-41.38374526j)
      1.63000000      (3.56222943+4.20046876j)      (-1.27380405+13.64830690j)      (4.65145933+-16.66839315j)      (2.61825869+-44.79139187j)
      1.64000000      (3.23841306+5.07367435j)      (-3.23548426+14.13048309j)      (5.66977710+-18.10301776j)      (8.98259766+-46.77317335j)
      1.65000000      (2.64379336+5.94310505j)      (-5.49770168+14.08017387j)      (7.20865081+-19.48167811j)      (15.79007130+-46.85380672j)
      1.66000000      (1.75245161+6.71340973j)      (-7.83239850+13.35598097j)      (9.07319180+-20.74351075j)      (22.26676644+-44.83855927j)
      1.67000000      (0.57406641+7.26492584j)      (-9.94934550+11.94998660j)      (11.38210899+-21.63874389j)      (27.61244719+-40.94095114j)
      1.68000000      (-0.81662395+7.47186691j)      (-11.59056865+10.00534652j)      (14.02385000+-21.92415041j)      (27.68841701+-39.80561115j)
      1.69000000      (-6.87578840+2.72406680j)      (-10.22786371+10.91579222j)      (19.85347724+-18.29531286j)      (27.15460903+-38.13740860j)
      1.70000000      (-6.74067817+1.30547183j)      (-11.64015981+8.88853905j)      (20.90273096+-16.00713779j)      (30.57009493+-33.32386683j)
      1.71000000      (-6.29951432+0.10444468j)      (-10.24983878+9.90966106j)      (23.03277409+-8.72180510j)      (29.21952590+-31.76000728j)
      1.72000000      (-5.67504972+-0.83426164j)      (-11.42547426+7.87616016j)      (21.15475712+-6.49715100j)      (31.03917116+-26.26315206j)
      1.73000000      (-4.97018665+-1.52037827j)      (-11.96568960+5.71277536j)      (18.86900186+-4.57648412j)      (28.86389612+-24.89208010j)
      1.74000000      (-4.25718700+-1.98925152j)      (-11.93139147+3.65624200j)      (16.56492917+-3.03930361j)      (29.11312485+-19.82217787j)
      1.75000000      (-3.58026710+-2.28444653j)      (-11.46023378+1.86137552j)      (14.34755339+-1.83203842j)      (28.11058623+-15.14658322j)
